time,latitude (deg),longitude (deg),barometric pressure (hPa),air temperature (degC),tilt (deg),compass bearing (deg)
2025-08-07T02:00:15,84.141800,21.988091,1014,2.0000,7.0,218.0
2025-08-07T04:00:14,84.146011,21.983255,1014,1.9375,8.0,218.0
2025-08-07T06:00:15,84.149780,21.969837,1014,2.0625,7.0,222.0
2025-08-07T08:00:15,84.153778,21.946989,1014,2.6875,8.0,227.0
2025-08-07T10:00:14,84.157387,21.925236,1013,3.9375,8.0,221.0
2025-08-07T12:00:15,84.160774,21.907993,1012,5.7500,8.0,226.0
2025-08-07T14:00:15,84.164055,21.882595,1011,5.0625,8.0,216.0
2025-08-07T16:00:14,84.166626,21.849051,1011,3.5000,8.0,224.0
2025-08-07T18:00:15,84.167267,21.798555,1009,2.3750,8.0,225.0
2025-08-07T20:00:14,84.168358,21.701399,1008,1.6875,8.0,224.0
2025-08-07T22:00:15,84.172592,21.602449,1007,1.3750,8.0,218.0
2025-08-08T00:00:15,84.180992,21.503973,1006,1.6250,8.0,222.0
2025-08-08T02:00:14,84.190369,21.450983,1005,1.0625,8.0,228.0
2025-08-08T04:00:15,84.199326,21.417707,1005,1.0000,9.0,224.0
2025-08-08T06:00:15,84.208061,21.393232,1005,1.1875,9.0,230.0
2025-08-08T08:00:14,84.213760,21.374228,1005,1.6875,9.0,221.0
2025-08-08T10:00:15,84.217102,21.330635,1005,1.4375,9.0,228.0
2025-08-08T12:00:15,84.221840,21.281006,1005,1.5625,9.0,230.0
2025-08-08T14:00:14,84.229576,21.240351,1004,2.4375,9.0,226.0
2025-08-08T16:00:15,84.239197,21.226301,1004,1.8750,9.0,229.0
2025-08-08T18:00:15,84.245346,21.236290,1004,1.8125,9.0,231.0
2025-08-08T20:00:14,84.248009,21.232641,1004,1.3125,9.0,232.0
2025-08-08T22:00:15,84.251404,21.214767,1005,1.1875,9.0,234.0
2025-08-09T00:00:15,84.256454,21.201923,1006,0.9375,9.0,232.0
2025-08-09T02:00:14,84.261635,21.214357,1006,1.0625,9.0,233.0
2025-08-09T04:00:15,84.265083,21.234627,1007,1.3125,9.0,226.0
2025-08-09T06:00:15,84.268639,21.253500,1008,1.3125,9.0,236.0
2025-08-09T08:00:14,84.271217,21.281527,1009,2.6250,9.0,241.0
2025-08-09T10:00:15,84.273483,21.327101,1011,2.8125,9.0,242.0
2025-08-09T12:00:15,84.272659,21.373413,1013,3.2500,10.0,240.0
2025-08-09T14:00:14,84.271889,21.395159,1014,3.6250,10.0,243.0
2025-08-09T16:00:15,84.274940,21.422516,1015,3.3750,10.0,243.0
2025-08-09T18:00:15,84.281540,21.461483,1016,2.7500,10.0,241.0
2025-08-09T20:00:14,84.287666,21.529575,1017,2.1250,10.0,246.0
2025-08-09T22:00:15,84.287712,21.597034,1017,1.8750,10.0,245.0
2025-08-10T00:00:15,84.284943,21.599380,1017,3.0000,10.0,247.0
2025-08-10T02:00:14,84.288658,21.544491,1018,3.7500,11.0,251.0
2025-08-10T04:00:15,84.298698,21.519522,1018,4.2500,11.0,245.0
2025-08-10T06:00:15,84.311790,21.542534,1018,3.6875,11.0,244.0
2025-08-10T08:00:14,84.322571,21.591393,1018,3.4375,11.0,251.0
2025-08-10T10:00:15,84.330070,21.621836,1019,2.8750,12.0,247.0
2025-08-10T12:00:15,84.340096,21.621910,1018,2.6250,12.0,250.0
2025-08-10T14:00:14,84.353233,21.645037,1019,2.6250,13.0,251.0
2025-08-10T16:00:15,84.367371,21.720955,1018,1.8750,13.0,252.0
2025-08-10T18:00:15,84.378624,21.836639,1018,1.2500,13.0,254.0
2025-08-10T20:00:14,84.383080,21.933458,1019,1.0625,13.0,254.0
2025-08-10T22:00:15,84.384514,21.988983,1020,0.9375,13.0,245.0
2025-08-11T00:00:15,84.383804,22.000061,1019,1.0000,13.0,254.0
