time,latitude (deg),longitude (deg),barometric pressure (hPa),air temperature (degC),tilt (deg),compass bearing (deg)
2025-07-16T15:00:12,84.778099,14.188885,1009,1.7500,7.0,271.0
2025-07-16T17:00:15,84.768295,14.109650,1008,2.0000,7.0,272.0
2025-07-16T19:00:14,84.768661,14.054943,1009,1.4375,7.0,268.0
2025-07-16T21:00:15,84.770187,14.070338,1009,1.8750,7.0,271.0
2025-07-16T23:00:14,84.765427,14.121098,1009,1.5625,7.0,277.0
2025-07-17T01:00:15,84.750854,14.150765,1010,1.4375,7.0,272.0
2025-07-17T03:00:15,84.734146,14.098418,1010,1.0000,7.0,274.0
2025-07-17T05:00:14,84.724419,14.009876,1010,1.4375,7.0,267.0
2025-07-17T07:00:15,84.722816,13.968936,1011,2.1250,7.0,271.0
2025-07-17T09:00:14,84.723045,13.971925,1011,2.9375,6.0,273.0
2025-07-17T11:00:15,84.718330,14.009790,1011,2.8125,6.0,267.0
2025-07-17T13:00:15,84.707924,14.043921,1012,2.7500,6.0,269.0
2025-07-17T15:00:14,84.695511,14.015095,1011,2.3125,6.0,269.0
2025-07-17T17:00:15,84.686913,13.951338,1011,1.8750,6.0,275.0
2025-07-17T19:00:14,84.683731,13.913038,1011,1.8125,6.0,268.0
2025-07-17T21:00:15,84.683083,13.936260,1011,1.5000,6.0,273.0
2025-07-17T23:00:15,84.680725,13.999910,1010,1.0000,6.0,272.0
2025-07-18T01:00:14,84.672958,14.067840,1010,0.8125,6.0,273.0
2025-07-18T03:00:15,84.662376,14.084980,1010,1.5625,6.0,272.0
2025-07-18T05:00:15,84.651833,14.068115,1010,0.8750,6.0,271.0
2025-07-18T07:00:14,84.645470,14.028076,1010,2.3125,6.0,269.0
2025-07-18T09:00:15,84.643219,14.031791,1010,2.4375,6.0,275.0
2025-07-18T11:00:14,84.637589,14.088928,1010,1.8125,5.0,274.0
2025-07-18T13:00:15,84.625793,14.152225,1010,2.0625,6.0,273.0
2025-07-18T15:00:15,84.612328,14.155678,1010,3.0625,6.0,273.0
2025-07-18T17:00:14,84.601913,14.126243,1010,1.8750,5.0,268.0
2025-07-18T19:00:15,84.597755,14.090335,1010,0.8750,5.0,274.0
2025-07-18T21:00:14,84.598457,14.094140,1011,1.2500,5.0,274.0
2025-07-18T23:00:15,84.597321,14.129455,1011,0.6875,5.0,273.0
2025-07-19T01:00:15,84.590866,14.169470,1011,0.3750,5.0,273.0
2025-07-19T03:00:14,84.581573,14.157576,1012,0.5625,5.0,269.0
