time,latitude (deg),longitude (deg),barometric pressure (hPa),air temperature (degC),tilt (deg),compass bearing (deg),filter_flag_gps ()
2025-07-21T17:00:12,84.400970,-17.905045,1013,5.8125,4.0,19.0,0
2025-07-21T19:00:14,84.396370,-17.944038,1013,3.2500,4.0,23.0,0
2025-07-21T21:00:15,84.396103,-17.972816,1012,2.6250,4.0,25.0,0
2025-07-21T23:00:15,84.397217,-17.954704,1013,2.3750,4.0,24.0,0
2025-07-22T01:00:14,84.395813,-17.910002,1012,1.7500,5.0,22.0,0
2025-07-22T03:00:15,84.390533,-17.873491,1012,1.6250,5.0,23.0,0
2025-07-22T05:00:14,84.383186,-17.860849,1011,2.5625,5.0,21.0,0
2025-07-22T07:00:15,84.376808,-17.870834,1011,5.0625,5.0,21.0,0
2025-07-22T09:00:15,84.373352,-17.884741,1011,6.5000,5.0,22.0,0
2025-07-22T11:00:14,84.371849,-17.884069,1011,5.7500,5.0,19.0,0
2025-07-22T13:00:15,84.368996,-17.864866,1011,6.1250,5.0,21.0,0
2025-07-22T15:00:14,84.362595,-17.850494,1011,6.8750,5.0,22.0,0
2025-07-22T17:00:15,84.354195,-17.865650,1011,4.0625,5.0,22.0,0
2025-07-22T19:00:15,84.347214,-17.892855,1011,2.6250,5.0,24.0,0
2025-07-22T21:00:14,84.342720,-17.915285,1011,1.7500,6.0,22.0,0
2025-07-22T23:00:15,84.340065,-17.914637,1011,1.6250,5.0,24.0,0
2025-07-23T01:00:14,84.335564,-17.896381,1011,1.3125,5.0,26.0,0
2025-07-23T03:00:15,84.329536,-17.872414,1011,1.8750,5.0,24.0,0
2025-07-23T05:00:15,84.321770,-17.860100,1011,3.1875,5.0,23.0,0
2025-07-23T07:00:14,84.313683,-17.864552,1011,5.3125,6.0,23.0,0
2025-07-23T09:00:15,84.306778,-17.870726,1012,7.1250,6.0,18.0,0
2025-07-23T11:00:14,84.301468,-17.863026,1012,7.6250,6.0,17.0,0
2025-07-23T13:00:15,84.296234,-17.843182,1012,7.2500,6.0,15.0,0
2025-07-23T15:00:14,84.289581,-17.828451,1012,6.5625,6.0,20.0,0
2025-07-23T17:00:15,84.281281,-17.829250,1011,4.2500,6.0,21.0,0
2025-07-23T19:00:15,84.273087,-17.848261,1011,3.5000,6.0,20.0,0
2025-07-23T21:00:14,84.266533,-17.862698,1010,2.3750,6.0,22.0,0
2025-07-23T23:00:15,84.260933,-17.859453,1010,2.6875,6.0,25.0,0
2025-07-24T01:00:14,84.254395,-17.845079,1010,2.0625,6.0,26.0,0
2025-07-24T03:00:15,84.245491,-17.831390,1009,1.8125,6.0,24.0,0
2025-07-24T05:00:15,84.233688,-17.819891,1008,1.2500,6.0,24.0,0
2025-07-24T07:00:14,84.220825,-17.817490,1007,2.0000,6.0,21.0,0
2025-07-24T09:00:15,84.208748,-17.820345,1007,1.6250,6.0,23.0,0
2025-07-24T11:00:14,84.198410,-17.812786,1006,1.0000,6.0,23.0,0
2025-07-24T13:00:15,84.188828,-17.784580,1006,0.8750,6.0,25.0,0
2025-07-24T15:00:15,84.177361,-17.752714,1005,0.8125,6.0,24.0,0
2025-07-24T17:00:14,84.163544,-17.743433,1005,1.0625,6.0,26.0,0
2025-07-24T19:00:15,84.148750,-17.765434,1005,1.3750,6.0,22.0,0
2025-07-24T21:00:14,84.137794,-17.800831,1006,1.3750,6.0,22.0,0
2025-07-24T23:00:15,84.130554,-17.821466,1006,1.6250,6.0,25.0,0
2025-07-25T01:00:15,84.124077,-17.814899,1006,1.1875,6.0,22.0,0
2025-07-25T03:00:14,84.116951,-17.791166,1006,0.8125,6.0,24.0,0
2025-07-25T05:00:15,84.108574,-17.774569,1005,0.9375,6.0,25.0,0
2025-07-25T07:00:15,84.100258,-17.774654,1005,1.0000,6.0,25.0,0
2025-07-25T09:00:14,84.093193,-17.771393,1005,1.6250,6.0,21.0,0
2025-07-25T11:00:15,84.087410,-17.745008,1004,1.4375,6.0,24.0,0
2025-07-25T13:00:15,84.081825,-17.708271,1004,1.3125,6.0,26.0,0
2025-07-25T15:00:14,84.075226,-17.676388,1004,1.1250,6.0,24.0,0
2025-07-25T17:00:15,84.067291,-17.660999,1004,1.5625,6.0,25.0,0
2025-07-25T19:00:15,84.059029,-17.672186,1004,1.2500,6.0,25.0,0
2025-07-25T21:00:14,84.051392,-17.692945,1004,1.5000,6.0,24.0,0
2025-07-25T23:00:15,84.044907,-17.710575,1005,1.1250,6.0,22.0,0
2025-07-26T01:00:15,84.037926,-17.720879,1005,0.3125,6.0,27.0,0
2025-07-26T03:00:14,84.030426,-17.728064,1006,-0.1875,6.0,28.0,0
2025-07-26T05:00:15,84.022766,-17.734501,1006,0.2500,6.0,27.0,0
2025-07-26T07:00:15,84.014801,-17.737856,1007,0.8125,6.0,21.0,0
2025-07-26T09:00:14,84.007286,-17.732332,1007,1.5625,6.0,27.0,0
2025-07-26T11:00:15,83.999962,-17.714161,1008,2.0625,6.0,24.0,0
2025-07-26T13:00:15,83.992615,-17.690134,1008,2.3125,6.0,25.0,0
2025-07-26T15:00:14,83.985443,-17.666433,1008,2.6250,6.0,27.0,0
2025-07-26T17:00:15,83.977982,-17.647087,1008,2.4375,6.0,26.0,0
2025-07-26T19:00:14,83.970345,-17.633865,1008,2.2500,6.0,25.0,0
2025-07-26T21:00:15,83.962700,-17.614426,1007,1.6875,6.0,28.0,0
2025-07-26T23:00:15,83.954498,-17.580271,1007,1.4375,6.0,26.0,0
2025-07-27T01:00:14,83.946564,-17.538654,1007,1.2500,6.0,31.0,0
2025-07-27T03:00:15,83.938553,-17.486032,1006,1.0000,6.0,23.0,0
2025-07-27T05:00:14,83.930061,-17.433596,1005,1.0625,6.0,29.0,0
2025-07-27T07:00:15,83.921158,-17.391687,1005,1.5000,6.0,26.0,0
2025-07-27T09:00:15,83.912735,-17.324850,1004,1.5625,6.0,27.0,0
2025-07-27T11:00:14,83.903816,-17.237543,1004,1.8125,6.0,25.0,0
2025-07-27T13:00:15,83.893669,-17.135965,1004,1.5625,6.0,27.0,0
2025-07-27T15:00:14,83.880539,-17.018246,1003,0.7500,6.0,23.0,0
2025-07-27T17:00:15,83.866470,-16.924095,1003,0.5625,6.0,23.0,0
2025-07-27T19:00:15,83.854233,-16.854797,1003,0.3750,7.0,28.0,0
2025-07-27T21:00:14,83.842369,-16.789557,1004,0.3750,6.0,25.0,0
2025-07-27T23:00:15,83.828712,-16.734627,1005,1.0000,7.0,24.0,0
2025-07-28T01:00:15,83.815392,-16.698240,1006,0.5625,6.0,25.0,0
2025-07-28T03:00:14,83.804543,-16.656046,1007,0.8750,7.0,25.0,0
2025-07-28T05:00:15,83.795052,-16.603300,1007,0.8125,7.0,23.0,0
2025-07-28T07:00:14,83.787048,-16.539539,1007,1.0625,7.0,26.0,0
2025-07-28T09:00:15,83.778450,-16.483276,1007,1.8125,7.0,20.0,0
2025-07-28T11:00:15,83.768944,-16.422394,1008,3.0000,7.0,20.0,0
2025-07-28T13:00:14,83.759361,-16.365046,1008,3.4375,7.0,25.0,0
2025-07-28T15:00:15,83.750473,-16.311543,1008,3.3125,7.0,26.0,0
2025-07-28T17:00:14,83.742477,-16.262671,1008,2.4375,7.0,26.0,0
2025-07-28T19:00:15,83.735474,-16.217180,1008,1.2500,7.0,23.0,0
2025-07-28T21:00:15,83.728981,-16.170338,1009,1.5000,7.0,23.0,0
2025-07-28T23:00:14,83.722588,-16.119045,1009,1.6875,7.0,21.0,0
2025-07-29T01:00:15,83.715889,-16.062546,1009,1.1250,7.0,24.0,0
2025-07-29T03:00:15,83.708992,-16.008110,1009,1.0000,7.0,25.0,0
2025-07-29T05:00:14,83.701859,-15.958251,1009,1.1250,7.0,24.0,0
2025-07-29T07:00:15,83.695473,-15.915075,1010,1.5000,7.0,24.0,0
2025-07-29T09:00:15,83.690102,-15.874536,1010,2.6250,7.0,24.0,0
2025-07-29T11:00:14,83.684151,-15.821090,1010,2.7500,7.0,29.0,0
2025-07-29T13:00:15,83.677666,-15.761848,1011,3.1250,7.0,22.0,0
2025-07-29T15:00:15,83.670998,-15.704281,1011,3.6875,7.0,21.0,0
2025-07-29T17:00:14,83.664986,-15.665093,1011,3.5000,7.0,24.0,0
2025-07-29T19:00:15,83.659958,-15.639603,1011,2.8125,7.0,23.0,0
2025-07-29T21:00:15,83.655640,-15.613688,1012,1.1875,7.0,26.0,0
2025-07-29T23:00:14,83.651421,-15.577556,1012,0.1250,7.0,31.0,0
2025-07-30T01:00:15,83.647110,-15.525730,1012,0.8125,7.0,28.0,0
2025-07-30T03:00:15,83.641968,-15.459826,1012,0.6875,7.0,28.0,0
2025-07-30T05:00:14,83.635712,-15.400245,1013,1.0625,7.0,25.0,0
2025-07-30T07:00:15,83.629967,-15.356115,1013,1.3125,7.0,26.0,0
2025-07-30T09:00:15,83.626770,-15.305935,1014,1.8750,7.0,26.0,0
2025-07-30T11:00:14,83.624992,-15.225360,1014,2.2500,8.0,26.0,0
2025-07-30T13:00:15,83.621498,-15.129528,1014,2.4375,7.0,28.0,0
2025-07-30T15:00:15,83.616959,-15.036836,1014,2.3125,8.0,22.0,0
2025-07-30T17:00:14,83.614120,-14.964636,1014,2.0000,8.0,23.0,0
2025-07-30T19:00:15,83.611488,-14.915965,1014,1.7500,8.0,24.0,0
2025-07-30T21:00:15,83.609116,-14.888090,1014,1.0625,8.0,26.0,0
2025-07-30T23:00:14,83.607414,-14.861903,1013,0.0625,8.0,28.0,0
2025-07-31T01:00:15,83.605408,-14.821560,1013,-0.1875,8.0,27.0,0
2025-07-31T03:00:15,83.601715,-14.768266,1013,0.1250,8.0,24.0,0
2025-07-31T05:00:14,83.596489,-14.727283,1013,1.7500,8.0,21.0,0
2025-07-31T07:00:15,83.591438,-14.706860,1013,3.6250,8.0,23.0,0
2025-07-31T09:00:15,83.587692,-14.693088,1013,6.4375,8.0,20.0,0
2025-07-31T11:00:14,83.584923,-14.665523,1013,7.3750,8.0,15.0,0
